latitude,longitude,chi,elevation,flow_distance,drainage_area,slope,source_key,basin_key
34.5003864,110.328447,0.58895,511,5459,3.2127e+07,0.028808,0,0
34.5006606,110.329098,0.57617,507,5386.5,3.213e+07,0.032311,0,0
34.5006606,110.329098,0.57617,507,5386.5,3.213e+07,0.030799,0,0
34.5009329,110.329423,0.56869,504,5344.1,3.2141e+07,0.030686,0,0
34.5009329,110.329423,0.56869,504,5344.1,3.2141e+07,0.032163,0,0
34.5009329,110.329423,0.56869,504,5344.1,3.2141e+07,0.027614,0,0
34.5009329,110.329423,0.56869,504,5344.1,3.2141e+07,0.027614,0,0
34.501207,110.330074,0.55282,502,5254.1,3.218e+07,0.027849,0,0
34.501207,110.330074,0.55282,502,5254.1,3.218e+07,0.028998,0,0
34.501207,110.330074,0.55282,502,5254.1,3.218e+07,0.030799,0,0
34.5014793,110.330399,0.54534,501,5211.7,3.218e+07,0.031287,0,0
34.5014793,110.330399,0.54534,501,5211.7,3.218e+07,0.033507,0,0
34.5014793,110.330399,0.54534,501,5211.7,3.218e+07,0.035274,0,0
34.5014811,110.330725,0.54005,500,5181.7,3.2181e+07,0.035274,0,0
34.5014829,110.331052,0.53476,496,5151.7,3.2187e+07,0.030248,0,0
34.5023034,110.33268,0.50178,494,4964.4,7.3864e+07,0.029333,0,0
34.5025757,110.333004,0.49685,493,4922,7.3875e+07,0.028099,0,0
34.5025757,110.333004,0.49685,493,4922,7.3875e+07,0.029333,0,0
34.5025775,110.333331,0.49336,491,4892,7.3881e+07,0.030248,0,0
34.5025775,110.333331,0.49336,491,4892,7.3881e+07,0.030683,0,0
34.5028498,110.333656,0.48842,490,4849.6,7.3959e+07,0.033101,0,0
34.5036685,110.334956,0.47013,486,4692.3,7.3975e+07,0.024659,0,0
34.5036703,110.335283,0.46665,484,4662.3,7.3977e+07,0.024351,0,0
34.5036703,110.335283,0.46665,484,4662.3,7.3977e+07,0.025674,0,0
34.5036703,110.335283,0.46665,484,4662.3,7.3977e+07,0.026698,0,0
34.5036703,110.335283,0.46665,484,4662.3,7.3977e+07,0.026698,0,0
34.5036703,110.335283,0.46665,484,4662.3,7.3977e+07,0.025267,0,0
34.5039426,110.335608,0.45967,483,4602.3,7.4015e+07,0.026528,0,0
34.5042149,110.335932,0.45474,481,4559.9,7.4016e+07,0.023982,0,0
